Name;Address;Phone;Category
Publi-Dora;Bergestraat 241, 1730 Asse;02 452 76 26;Adviesbureaus
Xerius Kinderbijslagfonds;Stationsstraat 61, 2800 Mechelen;078 15 40 29;Adviesbureaus
Chateau Events;Koben Geertsstraat 37/201, 9120 Beveren;null;Adviesbureaus
SD Worx;Sint-Pietersplein 60, 9000 Gent;09 264 02 11;Adviesbureaus
Fenikx;Frederik Burvenichstraat 171, 9050 Gentbrugge;0472 94 00 14;Adviesbureaus
SD Worx;Hoogkamerstraat 337, 9140 Temse;03 609 33 60;Adviesbureaus
Interleuven Dienstverlenende Intergemeentelijke Vereniging;Brouwersstraat 6, 3000 Leuven;016 23 58 36;Adviesbureaus
SD Worx;Brouwersvliet 2, 2000 Antwerpen;03 220 21 11;Adviesbureaus
Divine Art & Fashion;Leopold II-laan 5 9, 8400 Oostende;059 27 45 05;Adviesbureaus
A.B.A. Factoring;Zwijnaardsesteenweg 173, 9000 Gent;09 220 22 44;Adviesbureaus
TCF Belgium;Capucienenlaan 5A, 9300 Aalst;053 76 96 60;Adviesbureaus
SD Worx;Augustijnenlaan 2A, 2200 Herentals;014 76 34 50;Adviesbureaus
Energy Lab;Schoebroekstraat 8, 3583 Paal;011 45 99 16;Adviesbureaus
Luyten Dirk;Elzendreef 26, 2970 Schilde;03 685 36 58;Adviesbureaus
Xerius Ondernemingsloket;Gistelse Steenweg 294 / 201, 8200 Sint-Andries;078 48 47 77;Adviesbureaus
Xerius Sociaal Verzekeringsfonds;President Kennedypark 33B, 8500 Kortrijk;078 15 02 37;Adviesbureaus
Elke Heye Consulting;De Pintelaan 347, 9000 Gent;0475 62 67 24;Adviesbureaus
Bergé L;Margaretha Van Parmastraat 15, 9700 Oudenaarde;055 31 45 28;Adviesbureaus
Studiebureau Desomer;Oude Veurnestraat 75C, 8900 Ieper;057 36 45 60;Adviesbureaus
Publi Joni;Balendijk 206, 3920 Lommel;011 54 04 07;Adviesbureaus
Xerius Ondernemingsloket;Vesaliusstraat 31, 1000 Brussel;078 48 47 77;Adviesbureaus
Xerius Ondernemingsloket;Stationsstraat 61, 2800 Mechelen;078 15 05 52;Adviesbureaus
Xerius Ondernemingsloket;Vogelzang 1 bus 1, 2300 Turnhout;078 48 47 77;Adviesbureaus
Wijnegem Business Center;Bijkhoevelaan 3, 2110 Wijnegem;03 326 20 80;Adviesbureaus
SD Worx;Ilgatlaan 19, 3500 Hasselt;011 87 02 11;Adviesbureaus
Jennes Fr;Amerikalei 15, 2000 Antwerpen;03 238 39 66;Adviesbureaus
Wilink;Rijvisschestraat 124, 9052 Zwijnaarde;09 248 10 10;Adviesbureaus
Xerius Sociaal Verzekeringsfonds;Gistelse Steenweg 294 bus 20, 8200 Sint-Andries;078 15 02 37;Adviesbureaus
Toplook;Gasthuisstraat 36, 2960 Brecht;0472 94 74 91;Adviesbureaus
Wilfried Van Assche;Frans Reinemundlei 24, 2900 Schoten;03 685 53 10;Adviesbureaus
Xerius Kinderbijslagfonds;Ilgatlaan 19, 3500 Hasselt;078 15 40 25;Adviesbureaus
Xerius Ondernemingsloket;Interleuvenlaan 10, 3001 Heverlee;078 48 47 77;Adviesbureaus
Akay Hakan;Beversebaan 46, 2070 Zwijndrecht;0488 92 51 86;Adviesbureaus
D'hauwe Daniel;Sint-Simonstraat 8, 9050 Gentbrugge;09 329 40 47;Adviesbureaus
Beleggingen Patrick Mortier;Strandlaan 239C, 8670 Koksijde;058 51 88 10;Adviesbureaus
Thinkyellow;Oranjestraat 44/1, 2060 Antwerpen;03 689 38 54;Adviesbureaus
La dolce vita;Dendermondsesteenweg 19, 1730 Asse;02 461 20 54;Adviesbureaus
SD Worx;Kleinhoefstraat 7, 2440 Geel;014 57 11 20;Adviesbureaus
Geowijzer;Sint-Jorislaan 139, 3540 Schulen;0479 53 52 90;Adviesbureaus
Mullie Geert Expertisebureau;Berglaan 12, 8570 Anzegem;056 68 73 63;Adviesbureaus
Pollefoort Pascal;Kwaadstraat 17, 9572 Sint-Martens-Lierde;null;Adviesbureaus
Heyman & Co;Boombekelaan 9, 2660 Hoboken;03 808 41 79;Adviesbureaus
Vancappel Ch;Esplanade 7, 8900 Ieper;057 20 14 34;Adviesbureaus
Bananas;Schaarbeeklei 647, 1800 Vilvoorde;02 255 30 00;Adviesbureaus
Intersafe Electronics;Peerderbaan 49, 3940 Hechtel;011 64 82 82;Alarminstallaties
JWL Elektro & Security;Lodewijk De Raetlaan 22, 3900 Overpelt;011 66 37 09;Alarminstallaties
Franky Security;Venecolaan 32, 9880 Aalter;09 374 69 91;Alarminstallaties
General Alarm;Vennestraat 260, 3600 Genk;089 35 00 22;Alarminstallaties
Electro Van Bavel Patrick;Kerkstraat 22, 2328 Meerle;0495 53 92 13;Alarminstallaties
Ades NV;Bredabaan 209, 2930 Brasschaat;03 236 44 12;Alarminstallaties
Alarm Wouters;Driesheide 9, 2980 Halle;03 384 16 07;Alarminstallaties
Delec Security;Grondwetlaan 58, 9040 Sint-Amandsberg;09 259 00 56;Alarminstallaties
AABS;de Prolistraat 39, 2930 Brasschaat;03 663 78 68;Alarminstallaties
Ryckeboer Security;Rondevijverstraat 5, 8820 Torhout;0496 884 241;Alarminstallaties
AAC Wouters & Co;Turnhoutsebaan 352, 2970 Schilde;03 383 00 47;Alarminstallaties
SD Electro;Onze-Lieve-Vrouwlaan 24, 3300 Tienen;0499 73 44 87;Alarminstallaties
Luco Alarm;Helzoldstraat 112, 3530 Helchteren;011 60 30 60;Alarminstallaties
A.E.V. Vochten;Bredabaan 90, 2170 Merksem;03 808 12 92;Alarminstallaties
Varel Alarm;Veldstraat 111, 3500 Hasselt;011 23 12 88;Alarminstallaties
DAS Security;Pijnbroekstraat 56, 1600 Sint-Pieters-Leeuw;02 305 83 00;Alarminstallaties
Alarm Van Loon;Verbindingsstraat 8, 2910 Essen;03 297 86 90;Alarminstallaties
MBSJ All Alarm Systems;Meersstraat 160, 9070 Destelbergen;09 228 07 94;Alarminstallaties
Securitim;Hakendoverstraat 14, 3350 Linter;016 78 95 85;Alarminstallaties
Sterkens Alarmsystemen;Turnhoutsebaan 116, 2390 Oostmalle;03 311 68 72;Alarminstallaties
De Sutter Electronics;Parkstraat 15, 9620 Grotenberge;09 364 58 58;Alarminstallaties
Ditec;Steenweg op Diest 25, 2300 Turnhout;014 42 07 21;Alarminstallaties
Elotec;Van Aertselaerstraat 42, 2320 Hoogstraten;03 314 84 76;Alarminstallaties
VSK Electronics;Venetiëlaan 39, 8530 Harelbeke;056 24 19 51;Alarminstallaties
VDBS-Beveiliging;Orchideestraat 13, 9041 Oostakker;09 328 32 32;Alarminstallaties
Vandergraesen Pieter;Negenbunderstraat 6, 1750 Sint-Kwintens-Lennik;0472 80 44 82;Alarminstallaties
Ceulemans Security;Toekomstlaan 1/1, 2170 Merksem;03 644 31 21;Alarminstallaties
Elek-Security;Aalstersesteenweg 106, 9400 Ninove;054 32 37 26;Alarminstallaties
A & D In 't Ven;Otterstraat 9, 2300 Turnhout;014 41 58 63;Alarminstallaties
RG Alarm Systems;Chrysantenlaan 1, 1840 Londerzeel;052 30 23 62;Alarminstallaties
Alvem Security;Vijverstraat 35, 3450 Grazen;011 58 93 26;Alarminstallaties
Convens-Willems;Kloosterstraat 8, 2491 Olmen;014 30 38 70;Alarminstallaties
GDW Security;Haachtsesteenweg 56, 1831 Diegem;02 720 99 90;Alarminstallaties
VDESTRA Security;Lageweg 363, 2660 Hoboken;03 346 11 11;Alarminstallaties
Distri-Company;Steenweg Deinze 59, 9810 Nazareth;09 279 76 57;Alarminstallaties
JOJO Elektronica;Weg naar Zwartberg 214, 3660 Opglabbeek;089 81 98 96;Alarminstallaties
Alindo Security;Mellesteenweg 56, 9230 Wetteren;09 366 76 16;Alarminstallaties
DVE Service;Ettenhoven 108, 2940 Stabroek;0483 46 17 77;Alarminstallaties
Etac Gent Sécurity;Gontrode Heirweg 190, 9090 Melle;09 252 17 72;Alarminstallaties
Altec;Heikant 42, 2450 Meerhout;014 30 98 05;Alarminstallaties
De Beveiligingsfabriek;Vredestraat 29B, 8790 Waregem;056 61 60 68;Alarminstallaties
Alarm Service International;Waterhoennest 82A, 8501 Bissegem;056 96 89 68;Alarminstallaties
Maas Beveiligingstechniek;Kastelein 26, 2300 Turnhout;014 43 79 99;Alarminstallaties
Inter West Alarm;Veurnestraat 306, 8660 De Panne;058 41 35 92;Alarminstallaties
Brabex;Augustijnslei 150, 2930 Brasschaat;03 653 00 22;Alarminstallaties
Varel Alarm;Interleuvenlaan 62, 3001 Heverlee;016 40 21 94;Alarminstallaties
Tim Security;Koningin Astridlaan 29, 2550 Kontich;03 458 78 58;Alarminstallaties
Failsafe Security;Kuipersakkerstraat 11-13, 2900 Schoten;03 685 25 55;Alarminstallaties
Waasland Technologies;Houtzagerijstraat 3, 9100 Nieuwkerken-Waas;0471 29 71 49;Alarminstallaties
Euromatec;Bazellaan 7, 1140 Evere;02 726 99 10;Alarminstallaties
All Tech Security Systems;Duizendbladlaan 43, 3090 Overijse;02 657 94 43;Alarminstallaties
Securilain;Nieuwpoortstraat 119, 9160 Lokeren;09 345 46 87;Alarminstallaties
Powerline;Bogaereweg 72, 2240 Zandhoven;03 322 16 29;Alarminstallaties
BE Smart Security;Weg naar Zwartberg 81, 3530 Houthalen;089 73 83 30;Alarminstallaties
Verding;Keizersteegveld 13, 3590 Diepenbeek;011 21 52 03;Alarminstallaties
A-Security;Oudstrijdersstraat 85B, 2520 Ranst;03 613 24 24;Alarminstallaties
BN Tech;Kanaalweg 60, 3550 Heusden-Zolder;011 23 18 59;Alarminstallaties
2BS;Luchterenkerkweg 36, 9031 Drongen;0496 81 30 80;Alarminstallaties
Jacobs;Azalealaan 37, 2390 Oostmalle;03 344 60 44;Alarminstallaties
Deboel Yf;Hundelgemsesteenweg 320C2, 9820 Merelbeke;0478 77 77 94;Alarminstallaties
ISN Systems;Kievitstraat 6, 3600 Genk;078 15 39 99;Alarminstallaties
MATT Security;Bruggesteenweg 352, 8830 Hooglede;051 24 49 33;Alarminstallaties
A.A.B.E.;Schijnbeemdenlaan 20, 2110 Wijnegem;03 354 47 39;Alarminstallaties
Securyp;Brugseweg 397, 8900 Ieper;0476 28 45 77;Alarminstallaties
MDM-Projects;Hazeleerstraat 37, 9400 Ninove;0478598008;Alarminstallaties
Resatec;Kleimoer 1N, 9030 Mariakerke;09 382 00 84;Alarminstallaties
Dobes;Holrakkerstraat 8, 3500 Hasselt;011 23 56 40;Alarminstallaties
Poortwereld;Haachtsesteenweg 19, 1820 Steenokkerzeel;016 65 24 20;Alarminstallaties
Securiplus-Systems;Koewacht 130, 9190 Stekene;0491 714 549;Alarminstallaties
Ocelec Security Systems;Granbonpré 2, 1348 Louvain-la-Neuve;010 65 00 12;Alarminstallaties
Intelligent Security;Stampkotstraat 1, 8710 Wielsbeke;050 33 36 66;Alarminstallaties
Security Dynamics;Kasteelstraat 16, 9770 Kruishoutem;09 380 05 22;Alarminstallaties
Meeuwssen;Peelsestraat 63a, 2380 Ravels;014 65 64 09;Airconditioning
Leasimmo;Flor Alpaertsstraat 5, 2600 Berchem;03 449 85 17;Airconditioning
Van Vlimmeren;Herentalsebaan 257-259, 2100 Deurne;03 321 11 94;Airconditioning
K.L. Electro;Ketelstraat 94/1, 3454 Rummen;0479 98 17 44;Airconditioning
Air Cool Yannick;Liersesteenweg 59, 2221 Booischot;0477 91 88 28;Airconditioning
A & J De Saedeleer;Revinzestraat 62, 8820 Torhout;0475 78 52 80;Airconditioning
Ducar;Van de Perrelei 9, 2660 Hoboken;03 281 16 44;Airconditioning
Tant;Krommewege 41, 9990 Maldegem;050 71 01 57;Airconditioning
All Vac Technology;Bergensesteenweg 494, 1600 Sint-Pieters-Leeuw;02 356 97 77;Airconditioning
Remijsen;Donk 31, 2360 Oud-Turnhout;014 70 09 52;Airconditioning
Elektro Delta;Bist 21, 2630 Aartselaar;03 647 17 38;Airconditioning
Thermelec;Dendermondesteenweg 268, 9070 Destelbergen;09 228 32 31;Airconditioning
Aarschotse Verwarmingscentrale;Betekomsesteenweg 74, 3200 Aarschot;016 56 72 93;Airconditioning
AG Techniek;François Demarsinstraat 4, 3012 Wilsele;0489 59 74 12;Airconditioning
Jacobs Koel;Rillaarsebaan 61, 3200 Gelrode;0474 95 20 93;Airconditioning
Carveen;Obberg 103, 1780 Wemmel;02 460 18 60;Airconditioning
Verlinden Koeltechniek;Woestijnstraat 7, 2880 Bornem;03 889 24 15;Airconditioning
Partner Logistics Van Soest;Houtelweg 1, 2310 Rijkevorsel;03 314 38 61;Airconditioning
Baltimore Aircoil International;Industriepark A, 2220 Heist-op-den-Berg;015 25 77 00;Airconditioning
Audenaert Luc & Dirk;Beekstraat 35, 9971 Lembeke;09 373 69 76;Airconditioning
Klimacomfort;Begoniastraat 36, 9810 Eke;09 385 69 33;Airconditioning
IceTech Kumpen;Schrikheidestraat 41, 3580 Beringen;011 43 49 39;Airconditioning
Dacool;Sauvegardestraat 53, 2870 Ruisbroek;03 889 38 66;Airconditioning
Verheyen W Koeling Elektro;Opitterkiezel 195, 3960 Opitter;089 86 69 69;Airconditioning
Ventilec;Moortelstraat 20, 9160 Lokeren;09 326 95 85;Airconditioning
Koeltechniek Redant;Margote 111, 9260 Wichelen;052 42 35 27;Airconditioning
Elko Debilde;Victor Demesmaekerstraat 86, 1500 Halle;02 356 99 54;Airconditioning
Koeling BCD;Oude Baan 22, 2990 Wuustwezel;0476 26 97 94;Airconditioning
Airkan;Berchemweg 105, 9700 Oudenaarde;055 31 33 75;Airconditioning
Van Gucht Erik;Hemelrijken 16, 2890 Sint-Amands;052 37 69 72;Airconditioning
A-Aircool;Mersenhovenstraat 61, 3720 Kortessem;011 37 53 65;Airconditioning
KVN Technics;Ezaart 326, 2400 Mol;014 37 25 45;Airconditioning
Lasco;Arendonksesteenweg 8, 2380 Ravels;014 65 69 92;Airconditioning
All Air Systems;Hippolyte Meeùsstraat 42-44, 2110 Wijnegem;03 353 68 49;Airconditioning
Busschots;Liersesteenweg 222, 2590 Berlaar;03 482 12 02;Airconditioning
Koeltechniek Eric Maes;Wilgenstraat 10, 9150 Kruibeke;03 744 02 87;Airconditioning
Reynders Yvan;Maasstraat 57, 3272 Messelbroek;013 77 55 61;Airconditioning
Thermad Brink;Van Loenoutstraat 38, 2100 Deurne;03 326 24 84;Airconditioning
AIRLINE Klimaatbeheersing;Balendijk 191, 3920 Lommel;011 73 54 19;Airconditioning
Van Opstal Klimaattechniek;Sint Lenaartseweg 162, 2990 Wuustwezel;03 667 67 60;Airconditioning
Wullaert Klimatisatie;Waregemstraat 191, 8792 Desselgem;0477 30 33 50;Airconditioning
A&P Projects;Kaaslei 4, 2580 Putte;015 76 15 61;Airconditioning
Bcool-Technics;Boezingestraat 47, 8920 Langemark;0477 50 17 15;Airconditioning
Koeltechniek Verheyen;Kriekenstraat 39, 2520 Ranst;0475 32 33 63;Airconditioning
De Bock & Co;Beukendreef 8, 9160 Lokeren;09 349 46 66;Airconditioning
Klimatim;Kempenseweg 81, 3690 Zutendaal;0473 74 01 37;Airconditioning
DBR Koeltechniek Design;Dendermondsesteenweg 90, 9270 Kalken;09 367 95 71;Airconditioning
Jansen Airplus;Genebroekstraat 97, 3581 Beverlo;011 81 70 77;Airconditioning
Aussloos Kris;Attenrodestraat 33, 3390 Tielt-Winge;0473 73 37 87;Airconditioning
LBK Air;Ricksteenweg 2B, 8750 Zwevezele;0496 26 54 33;Airconditioning
Air Service Center;Nieuwlandlaan 510, 3200 Aarschot;016 55 05 40;Airconditioning
Enervro;Peerderbaan 58, 3910 Sint-Huibrechts-Lille;011 64 39 11;Airconditioning
EVB;Molenakker 12, 2320 Hoogstraten;03 314 82 43;Airconditioning
Michaux;Marktstraat 1, 1930 Zaventem;02 721 25 97;Airconditioning
Smets Koeltechniek;August Van Putlei 7, 2150 Borsbeek;03 321 81 58;Airconditioning
Venticolt;Glabbeekstraat 107, 3450 Geetbets;0478 91 99 98;Airconditioning
Antartico;Azalealei 66, 2170 Merksem;03 644 78 90;Airconditioning
Cool It;Moerstraat 55, 2970 's Gravenwezel;03 685 66 06;Airconditioning
Lamont Kristof;Deinsesteenweg 6, 8700 Tielt;0479 24 79 52;Airconditioning
Larfrost;Lar, 8930 Rekkem;056 42 82 36;Airconditioning
Van Den Eynde;Lage Venne 1, 2235 Hulshout;0478 47 78 37;Airconditioning
Vanden Brande;Vilvoordsesteenweg 163, 1850 Grimbergen;02 270 90 54;Airconditioning
Dumoulin Koeltechniek;Beverensestraat 70, 8850 Ardooie;051 22 70 84;Airconditioning
G. Electricity;Bikschotestraat 119, 8920 Langemark;0475 34 11 18;Airconditioning
Paul Binnebeek & Co;Hondelee 45/1, 9052 Zwijnaarde;09 220 21 60;Airconditioning
Koeltechnieker Van Aeken;Vaartkant Links 45A, 2960 Sint-Lenaarts;03 843 20 92;Airconditioning
Mobitech;Slingerweg 7, 3600 Genk;089 30 50 35;Airconditioning
Fulltherm;Bergensesteenweg 159, 1600 Sint-Pieters-Leeuw;02 654 14 18;Airconditioning
L.T.V.S.;de Borghgravelaan 3, 3550 Heusden-Zolder;011 53 37 76;Airconditioning
Coolair;Oude Liersebaan 377, 2570 Duffel;015 63 31 33;Airconditioning
Frigomar;Nerenweg 168, 9270 Kalken;09 367 57 00;Airconditioning
Meersman Marc Transportkoeling;Bergestraat 143, 1730 Asse;02 453 07 30;Airconditioning
Rob Air;Nieuwpoortlaan 1, 3600 Genk;089 61 37 51;Airconditioning
Techno4;Noordlaan 92, 9630 Munkzwalm;055 49 55 95;Airconditioning
Thermofox;Spieveldstraat 7, 9160 Lokeren;09 349 21 21;Airconditioning
Securex;Verenigde-Natieslaan 1, 9000 Gent;09 235 62 11;Administratiekantoren
Securex;Beverestraat 45, 9700 Oudenaarde;055 33 39 11;Administratiekantoren
Securex;Ardooisesteenweg 115A, 8800 Roeselare;051 26 19 20;Administratiekantoren
Officenter;Ninovesteenweg 198, 9300 Aalst;053 73 18 11;Administratiekantoren
Securex;Conservatoriumplein 21, 8500 Kortrijk;056 23 68 11;Administratiekantoren
Securex;Brouwerijstraat 1, 9031 Drongen;09 235 62 11;Administratiekantoren
Securex;Schaliënhoevedreef 20D, 2800 Mechelen;015 29 48 90;Administratiekantoren
Securex;Hendrik Heymanplein 150, 9100 Sint-Niklaas;03 778 78 11;Administratiekantoren
Securex;Jan van Gentstraat 3, 2000 Antwerpen;03 201 36 36;Administratiekantoren
Securex;Prins-Bisschopssingel 36, 3500 Hasselt;011 29 12 21;Administratiekantoren
Securex;Krakeleweg 39, 8000 Brugge;050 45 67 10;Administratiekantoren
Securex;Zeelaan 148, 8670 Koksijde;058 53 29 29;Administratiekantoren
Outcome;Leuvensesteenweg 248D, 1800 Vilvoorde;02 752 17 60;Administratiekantoren
Belastingparticulier;Kolonie 145a, 3920 Lommel;011 61 12 90;Administratiekantoren
Securex;Sint Michielswarande 30, 1040 Etterbeek;02 729 92 11;Administratiekantoren
Mi Services;Slootvenstraat 17, 3920 Lommel;011 72 36 72;Administratiekantoren
Chummy;Prins Boudewijnlaan 41E, 2970 Schilde;03 293 63 41;Administratiekantoren
IDOLA Business center;Antwerpse Steenweg 19, 9080 Lochristi;09 330 20 20;Administratiekantoren
Securex;Tiensevest 58, 3000 Leuven;016 38 86 11;Administratiekantoren
Allfisk;Van Haveskerckelaan 11, 8750 Wingene;051 69 60 62;Administratiekantoren
Warnitz Erik;Spoorwegstraat 25, 3740 Beverst;089 51 54 97;Administratiekantoren
Gevimar;Ruitersweg 76, 8520 Kuurne;056 37 13 51;Administratiekantoren
Administratiekantoor Inge Moeraert;Zandwaver 5, 2440 Geel;0478 43 83 87;Administratiekantoren
EXCS;Winkelstap 25, 2900 Schoten;03 645 14 61;Administratiekantoren
FLeur;Dassenstraat 4, 2440 Geel;014 85 20 66;Administratiekantoren
Administratie- en Sociaal Kantoor De Rijck;Westermoer 26, 2160 Wommelgem;03 354 40 95;Administratiekantoren
Papperas;Koksijdesteenweg 74, 8670 Koksijde;058 62 68 18;Administratiekantoren
Adminisa;Pontstraat 48, 8551 Heestert;0485 17 58 08;Administratiekantoren
Securex;Tervurenlaan 43, 1040 Etterbeek;02 729 92 11;Administratiekantoren
Zakenkantoor Van Parys;Olsensesteenweg 1A, 9770 Kruishoutem;09 383 75 48;Administratiekantoren
Extra Paar Handen;Jacob Lacopsstraat 35, 9700 Oudenaarde;0476 97 60 54;Administratiekantoren
A.B.F.;Kloosterbeek 5, 1730 Mollem;02 452 82 92;Administratiekantoren
L & W Consult;Groene Laan 74/1, 2830 Willebroek;0495 18 11 51;Administratiekantoren
Van Der Voorde & Co;Dorp 2, 1750 Sint-Martens-Lennik;02 532 44 45;Administratiekantoren
Trans M B;Pittemstraat 153, 8760 Meulebeke;0496 16 35 56;Administratiekantoren
Imas Fiducières;Terbekehofdreef 24, 2610 Wilrijk;03 870 43 40;Administratiekantoren
Accountant & Tax Adviser;Steenweg op Merchtem 54, 1780 Wemmel;02 460 63 64;Administratiekantoren
Eneman;Torhoutse Steenweg 344 1, 8200 Sint-Michiels;050 33 94 26;Administratiekantoren
KVB Admin;Brechtsesteenweg 44, 2390 Westmalle;0495 22 09 72;Administratiekantoren
Lyvema;Peerdsmeer 13, 3600 Genk;089 24 73 53;Administratiekantoren
VM Typewerk;Moeskroenstraat 730/010, 8930 Rekkem;056 53 00 62;Administratiekantoren
Fiduciaire des Classes Moyennes;Herzieningslaan 24/13, 1070 Anderlecht;02 522 92 57;Administratiekantoren
Sofido 2;Edmond Picardstraat 22, 1050 Elsene;02 333 38 70;Administratiekantoren
Administratie uit Handen;Blauwbrugstraat 113, 2845 Niel;0477 43 87 16;Administratiekantoren
BVM;Herendal 145/11, 1150 Sint-Pieters-Woluwe;02 771 55 55;Administratiekantoren
Vontor;Willem Rosierstraat 37, 2800 Mechelen;015 41 94 75;Administratiekantoren
Auto-Mate;Essestraat 62, 8810 Lichtervelde;0479 33 71 71;Administratiekantoren
CITCO Belgium;Louizalaan 331-333, 1050 Elsene;02 642 86 00;Administratiekantoren
Securex;Traverse d'Esope 6, 1348 Louvain-la-Neuve;010 23 98 11;Administratiekantoren
Condata;Vorstlaan 145, 1160 Oudergem;0472 35 16 18;Administratiekantoren
Trustconsult Belgium;Majoor Pétillonstraat 72, 1040 Etterbeek;02 736 34 26;Administratiekantoren
Fiduciaire Makoudi;Georges Moreaustraat 35, 1070 Anderlecht;02 410 62 93;Administratiekantoren
De Jonghe Autoparts;Bisschoppenhoflaan 641, 2100 Deurne;03 360 58 08;Auto-onderdelen
EMV;Meensesteenweg 354, 8800 Roeselare;051 22 10 69;Auto-onderdelen
Wara Autoshop;Dijkstraat 35, 3600 Genk;089 38 18 66;Auto-onderdelen
Wilex Auto-Onderdelen;Steenweg op Turnhout 65, 2360 Oud-Turnhout;014 45 37 34;Auto-onderdelen
Sergoyne Car-Parts;Veilinglaan 18, 1861 Wolvertem;02 313 99 24;Auto-onderdelen
Garage Rietje;Antwerpsesteenweg 340 - 346, 2950 Kapellen;03 660 11 22;Auto-onderdelen
Autoparts Luc;Violettestraat 1, 9300 Aalst;053 77 97 58;Auto-onderdelen
Wachtebeekse Banden;Melkerijstraat 73, 9185 Wachtebeke;0486 89 09 84;Auto-onderdelen
Firma Galle;Zultseweg 200, 8790 Waregem;056 62 00 30;Auto-onderdelen
AKC Automotive;Heikantstraat 222, 2920 Kalmthout;03 685 54 02;Auto-onderdelen
PartsPoint;Metropoolstraat 9D, 2900 Schoten;03 326 34 12;Auto-onderdelen
Cardoen;Boomsesteenweg 950-958, 2610 Wilrijk;03 870 75 00;Auto-onderdelen
Brezan Autoparts;Grote Baan 12, 3530 Houthalen;011 60 22 41;Auto-onderdelen
DIV;Neerveld 3B, 2550 Kontich;02 277 30 50;Auto-onderdelen
Brezan Autoparts;Leuvensesteenweg 120, 3290 Diest;013 33 59 33;Auto-onderdelen
Smet;Prof.Scharpélaan 54, 3130 Betekom;016 56 51 65;Auto-onderdelen
Brezan Autoparts;Meeënweg 58, 3600 Genk;089 41 66 10;Auto-onderdelen
Autoshop Coremans;Herseltsesteenweg 157, 3200 Aarschot;016 56 61 28;Auto-onderdelen
Autoparts Vale;Pathoekeweg 100, 8000 Brugge;050 32 20 46;Auto-onderdelen
Limburgse Auto Onderdelen;Antwerpsesteenweg 52, 3970 Leopoldsburg;011 34 13 69;Auto-onderdelen
Kempens Autoglas;Kleine Reesdijk 96, 2300 Turnhout;014 42 11 02;Auto-onderdelen
Tas;Kloosterstraat 83, 9620 Erwetegem;09 360 41 26;Auto-onderdelen
ACM autocenter;Peerderbaan 1002, 3960 Bree;089 46 29 17;Auto-onderdelen
